id_ibge,nc,votos,urnas_apuradas,prop,secoes_totais
1500958,LULA,9566,100.00,71.33,64
1501006,JAIR BOLSONARO,2990,100.00,40.05,49
1501006,LULA,4475,100.00,59.95,49
1501105,JAIR BOLSONARO,2206,100.00,21.26,47
1501105,LULA,8171,100.00,78.74,47
1501204,JAIR BOLSONARO,4983,100.00,25.24,85
1501204,LULA,14758,100.00,74.76,85
1501253,JAIR BOLSONARO,1340,100.00,62.91,11
1501253,LULA,790,100.00,37.09,11
1501303,JAIR BOLSONARO,26380,100.00,35.34,287
1501303,LULA,48262,100.00,64.66,287
1501402,JAIR BOLSONARO,427051,100.00,49.72,2646
1501402,LULA,431858,100.00,50.28,2646
1501451,JAIR BOLSONARO,5618,100.00,48.07,65
1501451,LULA,6068,100.00,51.93,65
1501501,JAIR BOLSONARO,16723,100.00,45.70,127
1501501,LULA,19869,100.00,54.30,127
1501576,JAIR BOLSONARO,3763,100.00,45.11,39
1501576,LULA,4579,100.00,54.89,39
1501600,JAIR BOLSONARO,2761,100.00,29.10,42
1501600,LULA,6727,100.00,70.90,42
1501709,JAIR BOLSONARO,24883,100.00,37.55,279
1501709,LULA,41378,100.00,62.45,279
1501725,JAIR BOLSONARO,8088,100.00,66.31,46
1501725,LULA,4109,100.00,33.69,46
1501758,JAIR BOLSONARO,2130,100.00,43.11,24
1501758,LULA,2811,100.00,56.89,24
1501782,JAIR BOLSONARO,9276,100.00,42.82,105
1501782,LULA,12388,100.00,57.18,105
1501808,JAIR BOLSONARO,18062,100.00,36.87,205
1501808,LULA,30930,100.00,63.13,205
1501907,JAIR BOLSONARO,5085,100.00,29.74,75
1501907,LULA,12012,100.00,70.26,75
1501956,JAIR BOLSONARO,2634,100.00,26.44,50
1501956,LULA,7329,100.00,73.56,50
1502004,JAIR BOLSONARO,2750,100.00,20.51,60
1502004,LULA,10657,100.00,79.49,60
1502103,JAIR BOLSONARO,19273,100.00,24.03,304
1502103,LULA,60945,100.00,75.97,304
1502152,JAIR BOLSONARO,22799,100.00,62.96,130
1502152,LULA,13415,100.00,37.04,130
1502202,JAIR BOLSONARO,16458,100.00,39.95,182
1502202,LULA,24743,100.00,60.05,182
1502301,JAIR BOLSONARO,11640,100.00,35.92,133
1502301,LULA,20767,100.00,64.08,133
1502400,JAIR BOLSONARO,58469,100.00,52.25,384
1502400,LULA,53437,100.00,47.75,384
1502509,JAIR BOLSONARO,2977,100.00,32.74,52
1502509,LULA,6117,100.00,67.26,52
1502608,JAIR BOLSONARO,2028,100.00,24.59,37
1502608,LULA,6219,100.00,75.41,37
1502707,JAIR BOLSONARO,13451,100.00,55.83,105
1502707,LULA,10640,100.00,44.17,105
1502756,JAIR BOLSONARO,6738,100.00,36.83,76
1502756,LULA,11559,100.00,63.17,76
1502764,JAIR BOLSONARO,3217,100.00,62.43,29
1502764,LULA,1936,100.00,37.57,29
1502772,JAIR BOLSONARO,6524,100.00,52.86,55
1502772,LULA,5819,100.00,47.14,55
1502806,JAIR BOLSONARO,3766,100.00,21.86,72
1502806,LULA,13465,100.00,78.14,72
1502855,JAIR BOLSONARO,1911,100.00,23.00,48
1502855,LULA,6397,100.00,77.00,48
1502905,JAIR BOLSONARO,6688,100.00,27.31,99
1502905,LULA,17798,100.00,72.69,99
1502939,JAIR BOLSONARO,10883,100.00,48.20,102
1502939,LULA,11698,100.00,51.80,102
